id,name,geonames,lat,lng
1,Mönichkirchen,2771273,47.51062,16.03425
2,Wr. Neustadt,2761353,47.8,16.25
3,Gleisdorf,2778478,47.10559,15.71011
4,Oudna,2464420,36.61667,10.16667
5,Seebenstein,2765292,47.68333,16.13333
6,Wiesmath,2761272,47.61667,16.28333
7,Wiener Neustadt,2761353,47.8,16.25
8,Bocksdorf,2781653,47.14256,16.17784
9,Kirchschlag in der Buckligen Welt,2774368,47.5,16.28333
10,Wr. Neu,,NULL,NULL
11,Klingenfurth,2773934,47.68333,16.25
12,Jennersdorf Nähe,NaN,46.93848,16.14158
13,Deutsch-Kaltenbrunn,2781025,47.08789,16.10793
14,Eltendorf,2780109,47,16.2
15,nahe Wr. Neustadt,NaN,47.80485,16.23196
16,Pöttsching,2768464,47.80445,16.37109
17,Brennerpass,2781423,47.00528,11.50836
18,Raum Lienz,NaN,46.8289,12.76903
19,Innsbruck,2775220,47.26266,11.39454
20,Bereich Brennerpass,NaN,47.00528,11.50836
21,Augsburg,2954172,48.37154,10.89851
22,Bozen,3181913,46.49067,11.33982
23,nahe Meran,3173577,46.66817,11.15953
24,Bremen,2944388,53.07516,8.80777
25,,,NULL,NULL
26,Wattens,2761834,47.28333,11.6
27,Oberpetersdorf,2769838,47.61548,16.3765
28,Weiz nördlich,NaN,47.21667,15.61667
29,Jugoslawien,7500737,44,19.75
30,Bad Vöslau,2782043,47.96533,16.21359
31,Sopron,3045190,47.68501,16.59049
32,Mittelmeer/Adria,,NULL,NULL
33,Catania (I),2525068,37.49223,15.07041
34,Pilgersdorf,2768829,47.44106,16.3492
35,Hochlichtspitze,6939264,47.223784,10.04606
36,Thal bei Graz,2763767,47.06667,15.36667
37,Imst,2775307,47.24504,10.73974
38,Magdeburg,2874545,52.12773,11.62916
39,Rabenwald bei Pöllau,2768148,47.295037,15.782796
40,Salzburg,2766824,47.79941,13.04399
41,Regensburg,2849483,49.01513,12.10161
42,Birkfeld,2781748,47.35,15.68333
43,Semriach,2765168,47.21667,15.4
44,Annaberg,2782495,48.27885,14.13245
45,Hartberg,2776801,47.28333,15.96667
46,St. Valentin,2766365,48.16667,14.51667
47,Steyr,2764359,48.04274,14.42127
48,St. Leonhard am Wald,2766597,47.99544,14.87394
49,Liezen,2772480,47.56667,14.23333
50,Wels,2761524,48.16667,14.03333
51,Judenburg,2775020,47.16667,14.66667
52,Marchtrenk,2771962,48.18333,14.11667
53,Schwanenstadt,2765508,48.05537,13.77505
54,Heindlmühle,,NULL,NULL
55,Steyr südlich,NaN,48.04274,14.42127
56,Lambach,2773110,48.09276,13.87453
57,Gmunden,2778436,47.91839,13.79933
58,Pichl bei Wels,2768867,48.184155,13.898812
59,Graz,2779057,47.1,15.25
60,Windischgarsten,2761096,47.72223,14.32755
61,Trieben,2763362,47.48333,14.48333
62,Attersee,2782287,47.91646,13.53953
63,Frankenmarkt,2779378,47.98333,13.41667
64,Pfarrkirchen,,NULL,NULL
65,Gramatneusiedl,2778131,48.0304,16.48936
66,Enns,2780048,48.21346,14.47612
67,Steyr nördlich,NaN,48.04274,14.42127
68,Vöcklabruck,2762343,48.01667,13.65
69,Passau,2855328,48.5665,13.43122
70,Fuschl am See,2779084,47.8,13.3
71,Flachau,2779522,47.34406,13.39148
72,Hieflau,2776433,47.60639,14.74503
73,Palfau,2769283,47.7,14.8
74,Admont,2782979,47.57537,14.46075
75,Klagenfurt,2774326,46.62472,14.30528
76,Metnitz,2771643,46.98056,14.21667
77,Horn,2775516,48.66274,15.65663
78,Leibnitz,2772753,46.78161,15.53836
79,Weyer,2761419,47.85717,14.66409
80,Bruck an der Mur,2781371,47.41667,15.28333
81,Graz-Thalerhof,6299668,46.99107,15.43963
82,Moosdorf,2771243,48.04492,12.98902
83,Freistadt,2779275,48.51103,14.50453
84,Burghausen,,NULL,NULL
85,Niedertauern,,NULL,NULL
86,Saalfelden,2766922,47.42681,12.848
87,nördlich Klagenfurt,NaN,46.62472,14.30528
88,Tamsweg,2763929,47.12808,13.81102
89,Zederhaus,2760704,47.15,13.5
90,Deutschlandsberg,2781023,46.81528,15.22222
91,Bad Gleichenberg,2782056,46.87556,15.90861
92,Knittelfeld,2773887,47.21667,14.81667
93,St. Johann/Pongau,2766643,47.35,13.2
94,Fresen-Seetal,,NULL,NULL
95,Ramsau,2767995,47.41667,13.63333
96,unbekannt,,NULL,NULL
97,Wien,2761369,48.20849,16.37208
98,Melk,2771682,48.22737,15.33186
99,Wien Zentralfriedhof,3322690,48.15056,16.43833
100,Ferlach,2779640,46.52694,14.30194
101,Velden,2762453,46.61301,14.0413
102,Mühlen,2771083,47.03071,14.50848
103,St. Paul im Lavanttal,2766459,46.70056,14.87556
104,Wolfsberg,2760910,46.84056,14.84417
105,Übelbach,2763209,47.22534,15.23615
106,Rohrau-Aschbach,,NULL,NULL
107,Steyr östlich,NaN,48.04274,14.42127
108,Sankt Florian,,NULL,NULL
109,Gaflenz,2779048,47.88333,14.71667
110,Kremsmünster,2773538,48.0529,14.12919
111,Molln,2771299,47.88723,14.25819
112,Waidhofen an der Ybbs,2762077,47.96004,14.77361
113,Großraming,2777616,47.88333,14.55
114,Koralpe,2773708,46.78833,14.97333
115,Eisenerz,2780207,47.53333,14.88333
116,Eibiswald,2780283,46.68667,15.24722
117,Judenburg,2775020,47.16667,14.66667
118,Rechnitz,2767815,47.30467,16.44095
119,Pilgersdorf,2768829,47.44106,16.3492
120,Eisenstadt,2780190,47.84565,16.52327
121,Semmering,,NULL,NULL
122,Zwölfaxing,2760388,48.1099,16.46267
123,Schwechat,2765388,48.13333,16.46667
124,Fischamend,,NULL,NULL
125,Hochneukirchen,2775990,47.45,16.2
126,Bad Ischl,2782052,47.71109,13.61893
127,Neunkirchen,2770711,47.72096,16.08107
128,Aspang,2782321,47.55,16.08333
129,Bari,3182351,41.11148,16.8554
130,Ostösterreich,,NULL,NULL
131,Linz,2772400,48.30639,14.28611
132,Eferding,2780394,48.30866,14.02233
133,Neusiedlersee,3052649,47.83333,16.75
134,Apetlon,2782454,47.74394,16.8302
135,Markt Allhau,2771876,47.28333,16.08333
136,nordwestlich Fürstenfeld,NaN,47.05,16.08333
137,Rust,2766939,47.80122,16.67158
138,St. Margarethen,2766549,47.80335,16.60875
139,Puchberg am Schneeberg,2768279,47.78709,15.91352
140,Ungarn,719819,47,20
141,Rettenegg,2767529,47.52694,15.78104
142,Sigleß,2765070,47.77533,16.39503
143,Leithaprodersdorf,2772709,47.93348,16.47915
144,Münchendorf,2771042,48.03333,16.38333
145,Mattersburg,2771817,47.73333,16.4
146,Mariazell,2771893,47.77306,15.31639
147,Graz nordwestlich,NaN,47.06667,15.45
148,Münchendorf,2771042,48.03333,16.38333
149,Plambach-Grünau,,NULL,NULL
150,Friedberg Nähe,NaN,47.43333,16.05
151,Lahnsattel,2773137,47.77268,15.50583
152,Hainfeld,2776981,48.0339,15.77414
153,Türnitz,2763235,47.93095,15.49295
154,Baden,2782067,48.00543,16.23264
155,Friedberg,2779243,47.43333,16.05
156,Stainz,2764706,46.89444,15.26722
157,Altenmarkt,,NULL,NULL
158,Veitsch,2762458,47.57815,15.4945
159,westlich Mariazell,NaN,47.77306,15.31639
160,Ötscher,2769364,47.86185,15.20246
161,Mürzsteg,2770995,47.67556,15.49145
162,St. Stefan im Rosental,2766392,46.90389,15.71
163,Atzgersdorf,2782272,48.14719,16.29487
164,Wildon,2761208,46.88333,15.51667
165,Furth an der Triesting,2779094,47.97326,15.97326
166,südwestlich Baden,NaN,48.00543,16.23264
167,Frankenfels,2779379,47.98234,15.32593
